0.100000,0.800000,-1.600000,0.833333,-1.666667,0.818182,-1.636364,0.818733,-1.637467,0.832000,-1.664000,0.820000,-1.640000
0.200000,0.640000,-1.280000,0.694444,-1.388889,0.669421,-1.338843,0.670324,-1.340649,0.692224,-1.384448,0.672400,-1.344800
0.300000,0.512000,-1.024000,0.578704,-1.157407,0.547708,-1.095417,0.548817,-1.097634,0.575930,-1.151861,0.551368,-1.102736
0.400000,0.409600,-0.819200,0.482253,-0.964506,0.448125,-0.896250,0.449335,-0.898669,0.479176,-0.958507,0.452122,-0.904244
0.500000,0.327680,-0.655360,0.401878,-0.803755,0.366648,-0.733296,0.367886,-0.735811,0.397229,-0.652961,0.370740,-0.741480
0.600000,0.262144,-0.524288,0.334898,-0.669796,0.299985,-0.599969,0.301319,-0.614283,1.644152,-131.908987,0.304007,-0.608015
0.700000,0.209715,-0.419430,0.279082,-0.558163,0.245442,-0.490884,0.281182,-3.951136,-1192.746490,119301.694115,0.249286,-0.498622
0.800000,0.167772,-0.335544,0.232568,-0.465136,0.200816,-0.401632,10.264483,-1006.661896,1084457.646267,-108445742.125148,0.204435,-0.410919
0.900000,0.134218,-0.268435,0.193807,-0.387613,0.164304,-0.328608,2928.376355,-292821.435729,-985771791.552294,98577179173.950710,0.168477,-0.420974
1.000000,0.107374,-0.214749,0.161506,-0.323011,0.134431,-0.268861,852109.551243,-85210941.861066,896066558694.844200,-89606655869468.840000,0.172599,-3.790016
